u,anisotropy
-5.000000000000000000e-01,1.101907875972016337e-03
-2.500000000000000000e-01,1.819798736855893218e-03
0.000000000000000000e+00,2.843008903019084155e-03
2.500000000000000000e-01,4.041445540996557728e-03
5.000000000000000000e-01,4.924567777811805769e-03
7.500000000000000000e-01,4.756940267536591271e-03
1.000000000000000000e+00,3.404735543865444747e-03
1.250000000000000000e+00,1.801254067323565522e-03
1.500000000000000000e+00,7.508359844605738687e-04
1.750000000000000000e+00,2.711707583904487961e-04
2.000000000000000000e+00,9.413822454096276715e-05
2.250000000000000000e+00,3.365506867569756366e-05
2.500000000000000000e+00,1.282928287960061198e-05
